symbol,window,time,agent,pattern,direction,entry,stop,stop_pips,fib_state,fib_pct,outcome,R,mfe_R,mae_R,bars_to_resolution,event_id,atr_pips,stop_atr,year
GBPUSD,2014_A,2014-02-03T09:15:00+00:00,M15_FLAG_PENNANT,BEAR_PENNANT,SHORT,1.63753,1.640627,30.970000000001274,ACTIVE_SHALLOW,0.0,WIN,2.0,2.0762027768807463,0.2034226670972246,29,M15_FLAG_PENNANT|2014-02-03T09:15:00+00:00|1.63753,13.835714285714364,2.238409912235495,2014
GBPUSD,2014_A,2014-02-03T17:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.62964,1.63310375,34.63750000000098,ACTIVE_SHALLOW,0.0,LOSS,-1.0,1.1490436665463035,1.3049440635149623,65,M15_FLAG_PENNANT|2014-02-03T17:15:00+00:00|1.62964,13.48571428571445,2.56845868644072,2014
EURUSD,2014_A,2014-02-04T01:00:00+00:00,M15_HEAD_SHOULDERS,HEAD_SHOULDERS,SHORT,1.3518,1.35273,9.300000000000974,ACTIVE_PRIMARY_CORRECTION,52.4422,LOSS,-1.0,1.505376344085698,2.2043010752687016,20,M15_HEAD_SHOULDERS|2014-02-04T01:00:00+00:00|1.3518,4.892857142857318,1.9007299270074303,2014
EURUSD,2014_A,2014-02-04T01:15:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.35173,1.3531749999999998,14.449999999996965,ACTIVE_PRIMARY_CORRECTION,51.5424,LOSS,-1.0,0.9204152249137251,1.4671280276818996,19,M15_TRIANGLE_WEDGE|2014-02-04T01:15:00+00:00|1.35173,4.757142857143094,3.0375375375367484,2014
EURUSD,2014_A,2014-02-04T02:15:00+00:00,M15_CHANNEL,,SHORT,1.35145,1.352995,15.449999999999076,ACTIVE_PRIMARY_CORRECTION,47.6864,LOSS,-1.0,0.6796116504854746,1.5533980582524927,15,M15_CHANNEL|2014-02-04T02:00:00+00:00|1.35145,4.692857142856959,3.2922374429223065,2014
EURUSD,2014_A,2014-02-04T02:30:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.351,1.3531749999999998,21.74999999999816,ACTIVE_PRIMARY_CORRECTION,42.1594,LOSS,-1.0,0.2758620689655102,1.3103448275863265,14,M15_TRIANGLE_WEDGE|2014-02-04T02:30:00+00:00|1.351,4.864285714285543,4.471365638766299,2014
GBPUSD,2014_A,2014-02-05T03:15:00+00:00,M15_TRIANGLE_WEDGE,DESCENDING_TRIANGLE,SHORT,1.63243,1.6339899999999998,15.599999999997838,ACTIVE_LATCHED_RECOVERY,29.628,LOSS,-1.0,0.20512820512829638,1.057692307692409,8,M15_TRIANGLE_WEDGE|2014-02-05T03:15:00+00:00|1.63243,5.485714285714379,2.8437499999995577,2014
GBPUSD,2014_A,2014-02-05T22:15:00+00:00,M15_TRIANGLE_WEDGE,DESCENDING_TRIANGLE,SHORT,1.63031,1.63234,20.299999999999763,ACTIVE_LATCHED_RECOVERY,27.4838,LOSS,-1.0,0.09359605911325847,1.0246305418719734,6,M15_TRIANGLE_WEDGE|2014-02-05T22:15:00+00:00|1.63031,4.471428571428523,4.539936102236418,2014
GBPUSD,2014_A,2014-02-06T05:00:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.62996,1.6324049999999999,24.449999999998084,ACTIVE_LATCHED_RECOVERY,25.594,LOSS,-1.0,1.1124744376279219,1.1942740286299642,37,M15_TRIANGLE_WEDGE|2014-02-06T05:00:00+00:00|1.62996,5.514285714286153,4.433937823833497,2014
EURUSD,2015_A,2015-03-09T03:30:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.08368,1.08456,8.799999999999919,ACTIVE_SHALLOW,0.2113,LOSS,-1.0,0.06818181818176083,1.7045454545455347,10,M15_FLAG_PENNANT|2015-03-09T03:30:00+00:00|1.08368,4.635714285714362,1.8983050847457141,2015
