symbol,time,pattern,direction,entry,stop,stop_pips,baseline,baseline_mfe,cf_max_R_480,cf_min_R_480,sl_bar,hit_0.5R_bar,hit_1R_bar,hit_1.5R_bar,hit_2R_bar,hit_2.5R_bar,hit_3R_bar,hit_4R_bar,hit_5R_bar,min_R_after_1_before_2,lock1_after2_target2.5_R,lock1_after2_target2.5_why,lock1_after2_target3_R,lock1_after2_target3_why,lock1_after2_target4_R,lock1_after2_target4_why,lock1_after2_target5_R,lock1_after2_target5_why
GBPUSD,2014-02-03T09:15:00+00:00,BEAR_PENNANT,SHORT,1.63753,1.640627,30.970000000001274,WIN,2.0762027768807463,3.974814336454412,-1.6758153051339406,422.0,2,5.0,6.0,29.0,32.0,79.0,,,0.28414594769129986,2.5,TARGET,3.0,TARGET,1.0,LOCK,1.0,LOCK
GBPUSD,2014-02-03T17:15:00+00:00,BEAR_FLAG,SHORT,1.62964,1.63310375,34.63750000000098,LOSS,1.1490436665463035,1.2760736196318274,-3.7762540599060577,65.0,51,51.0,,,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2015-03-09T03:30:00+00:00,BEAR_FLAG,SHORT,1.08368,1.08456,8.799999999999919,LOSS,0.0681818181817608,42.545454545454845,-7.920454545454528,10.0,80,83.0,92.0,94.0,94.0,94.0,95.0,95.0,0.318181818181887,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2015-03-10T03:00:00+00:00,BEAR_FLAG,SHORT,1.08026,1.0834899999999998,32.29999999999844,WIN,2.1052631578948127,10.53250773993857,-0.653250773993857,,2,22.0,22.0,23.0,50.0,51.0,72.0,117.0,1.3312693498452564,1.0,LOCK,1.0,LOCK,1.0,LOCK,1.0,LOCK
EURUSD,2015-03-10T06:15:00+00:00,BEAR_FLAG,SHORT,1.07936,1.0803455,9.854999999998617,LOSS,0.5175038051751214,33.60730593607782,-3.054287163876591,4.0,1,8.0,8.0,9.0,9.0,9.0,9.0,10.0,1.1364789446982926,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2015-03-10T11:15:00+00:00,BEAR_FLAG,SHORT,1.07415,1.0771259999999998,29.75999999999868,LOSS,0.6518817204300796,9.37836021505414,-1.7338709677420305,5.0,5,17.0,30.0,39.0,68.0,83.0,88.0,91.0,0.5006720430107721,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2015-03-10T18:45:00+00:00,BEAR_FLAG,SHORT,1.0697,1.07275325,30.532499999997853,WIN,2.656186031278353,7.683615819209033,-0.6550397117825258,,9,38.0,53.0,58.0,58.0,60.0,62.0,90.0,0.006550397117868165,2.5,TARGET_SAME_ACT_BAR,3.0,TARGET,4.0,TARGET,5.0,TARGET
EURUSD,2015-03-11T04:00:00+00:00,BEAR_FLAG,SHORT,1.06672,1.06904,23.200000000001,LOSS,0.0689655172413496,8.8275862068961,-1.275862068965494,6.0,16,16.0,21.0,21.0,22.0,23.0,25.0,53.0,0.1594827586206748,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2015-03-11T09:15:00+00:00,BEAR_FLAG,SHORT,1.06191,1.0665619999999998,46.51999999999878,WIN,2.08082545141878,3.368443680137631,-1.388650042992326,109.0,2,4.0,32.0,33.0,74.0,224.0,,,-0.1913155631986416,2.5,TARGET,1.0,LOCK,1.0,LOCK,1.0,LOCK
EURUSD,2015-03-11T10:30:00+00:00,BEAR_FLAG,SHORT,1.05622,1.06254075,63.20749999999986,LOSS,0.0015820907328787,1.578926551437709,-1.9222402404778123,7.0,28,69.0,219.0,,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
