symbol,time,pattern,stop_pips,baseR,trailR,why,bar,peak
GBPUSD,2014-02-03T09:15:00+00:00,BEAR_PENNANT,30.970000000001274,2.0,2.832741362608762,TRAIL,90,3.832741362608762
GBPUSD,2014-02-03T17:15:00+00:00,BEAR_FLAG,34.63750000000098,-1.0,-1.0,SL,65,1.1490436665463035
EURUSD,2015-03-09T03:30:00+00:00,BEAR_FLAG,8.799999999999919,-1.0,-1.0,SL,10,0.06818181818176083
EURUSD,2015-03-10T03:00:00+00:00,BEAR_FLAG,32.29999999999844,2.0,1.1052631578948127,TRAIL,24,2.1052631578948127
EURUSD,2015-03-10T06:15:00+00:00,BEAR_FLAG,9.854999999998617,-1.0,-1.0,SL,4,0.5175038051751214
EURUSD,2015-03-10T11:15:00+00:00,BEAR_FLAG,29.75999999999868,-1.0,-1.0,SL,5,0.37970430107523645
EURUSD,2015-03-10T18:45:00+00:00,BEAR_FLAG,30.532499999997853,2.0,3.4870220257103126,TRAIL,67,4.487022025710313
EURUSD,2015-03-11T04:00:00+00:00,BEAR_FLAG,23.200000000001,-1.0,-1.0,SL,6,0.06896551724134961
EURUSD,2015-03-11T09:15:00+00:00,BEAR_FLAG,46.51999999999878,2.0,1.689165950129004,TRAIL,85,2.689165950129004
EURUSD,2015-03-11T10:30:00+00:00,BEAR_FLAG,63.20749999999986,-1.0,-1.0,SL,7,0.0015820907328787707
EURUSD,2015-08-20T00:00:00+00:00,BULL_FLAG,25.800000000000267,-1.0,-1.0,SL,31,0.3410852713178228
EURUSD,2015-08-20T10:45:00+00:00,BULL_FLAG,26.47250000000101,2.0,3.4687883652845617,TRAIL,81,4.468788365284562
EURUSD,2015-08-20T12:00:00+00:00,BULL_FLAG,18.58499999999763,-1.0,-1.0,SL,2,0.06456820016149331
EURUSD,2015-08-20T16:00:00+00:00,BULL_FLAG,14.547499999999491,-1.0,-1.0,SL,7,0.7011514005843317
EURUSD,2015-08-24T02:30:00+00:00,BULL_PENNANT,52.514999999999645,-1.0,-1.0,SL,14,0.47795867847282286
EURUSD,2017-01-17T04:00:00+00:00,BULL_FLAG,21.962500000001217,2.0,1.1172453044961017,TRAIL,25,2.1172453044961017
EURUSD,2017-01-17T05:45:00+00:00,BULL_FLAG,19.414999999998184,2.0,2.172804532578171,TRAIL,24,3.172804532578171
EURUSD,2017-01-23T03:00:00+00:00,BULL_FLAG,10.964999999998335,-1.0,-1.0,SL,7,0.17327861377100118
EURUSD,2017-01-26T14:15:00+00:00,BEAR_FLAG,25.360000000000937,-1.0,-1.0,SL,95,1.009463722397398
EURUSD,2017-01-26T15:45:00+00:00,BEAR_FLAG,23.74249999999911,-1.0,-1.0,SL,9,0.5728124670949052
EURUSD,2018-10-15T10:45:00+00:00,BULL_FLAG,15.539999999998331,-1.0,-1.0,SL,4,0.025740025740054243
GBPUSD,2018-10-16T08:30:00+00:00,BULL_FLAG,23.63500000000185,-1.0,-1.0,SL,34,1.4808546646921028
GBPUSD,2018-10-16T11:45:00+00:00,BULL_FLAG,14.699999999998605,-1.0,-1.0,SL,3,0.1292517006803759
EURUSD,2018-10-25T15:00:00+00:00,BEAR_FLAG,16.129999999998645,2.0,1.2442653440792077,TRAIL,86,2.2442653440792077
EURUSD,2019-01-07T01:30:00+00:00,BULL_FLAG,16.199999999999548,2.0,2.277777777777374,TRAIL,56,3.277777777777374
EURUSD,2019-01-07T13:15:00+00:00,BULL_FLAG,16.087499999999366,2.0,1.0326340326340406,TRAIL,46,2.0326340326340406
EURUSD,2019-01-07T18:00:00+00:00,BULL_FLAG,24.042499999998856,-1.0,-1.0,SL,30,0.19548715815742657
EURUSD,2019-01-17T07:15:00+00:00,BEAR_FLAG,21.9999999999998,-1.0,-1.0,SL,8,0.2409090909090565
GBPUSD,2019-01-24T00:30:00+00:00,BULL_FLAG,17.099999999998783,-1.0,-1.0,SL,6,0.07017543859643656
GBPUSD,2019-01-24T23:30:00+00:00,BULL_FLAG,19.63500000000007,2.0,1.4446142093204295,TRAIL,2,2.4446142093204295
EURUSD,2019-08-05T11:45:00+00:00,BULL_FLAG,20.98249999999968,2.0,2.345645180507629,TRAIL,56,3.345645180507629
EURUSD,2019-08-05T23:00:00+00:00,BULL_FLAG,18.89999999999725,-1.0,-1.0,SL,19,0.9947089947091943
GBPUSD,2020-07-06T05:45:00+00:00,BULL_FLAG,8.60000000000083,-1.0,-1.0,SL,3,0.5813953488370892
GBPUSD,2020-07-09T06:00:00+00:00,BULL_FLAG,12.390000000002122,-1.0,-1.0,SL,7,1.1299435028247433
GBPUSD,2020-07-21T07:00:00+00:00,BULL_FLAG,28.64999999999896,-1.0,-1.0,SL,3,0.36998254799305397
GBPUSD,2020-07-21T17:30:00+00:00,BULL_FLAG,22.077499999999528,-1.0,-1.0,SL,9,0.5616577963991196
GBPUSD,2020-07-27T02:30:00+00:00,BULL_PENNANT,19.399999999998307,-1.0,-1.0,SL,13,0.9381443298970689
GBPUSD,2020-07-27T22:45:00+00:00,BULL_FLAG,11.927499999999648,-1.0,-1.0,SL,2,0.008383986585676637
GBPUSD,2020-07-28T15:45:00+00:00,BULL_PENNANT,34.98249999999814,-1.0,-1.0,SL,39,0.11148431358540219
GBPUSD,2020-07-29T12:45:00+00:00,BULL_FLAG,23.62500000000045,-1.0,-1.0,SL,9,0.6730158730158519
GBPUSD,2020-07-30T09:30:00+00:00,BULL_FLAG,30.52749999999937,2.0,1.2438784702318118,TRAIL,22,2.2438784702318118
GBPUSD,2020-07-30T18:45:00+00:00,BULL_FLAG,18.56999999999997,2.0,1.477113624125022,TRAIL,22,2.477113624125022
GBPUSD,2020-10-01T05:45:00+00:00,BULL_FLAG,8.599999999998609,-1.0,-1.0,SL,5,0.8953488372091432
EURUSD,2021-05-03T04:15:00+00:00,BEAR_FLAG,6.999999999999229,-1.0,-1.0,SL,10,0.7285714285715237
EURUSD,2021-05-04T08:45:00+00:00,BEAR_FLAG,19.899999999999363,-1.0,-1.0,SL,13,0.2160804020101338
EURUSD,2021-05-05T06:45:00+00:00,BEAR_FLAG,18.799999999998818,-1.0,-1.0,SL,16,0.7287234042552966
