symbol,time,pattern,stop_pips,baseline,baseline_R,trail_R,trail_exit,bar,trail_level_R,peak_before_exit
GBPUSD,2014-02-03T09:15:00+00:00,BEAR_PENNANT,30.970000000001274,WIN,2.0,0.6887310300289411,TRAIL_STOP,23,0.6887310300289411,1.688731030028941
GBPUSD,2014-02-03T17:15:00+00:00,BEAR_FLAG,34.63750000000098,LOSS,-1.0,0.14904366654630352,TRAIL_STOP,59,0.14904366654630352,1.1490436665463035
EURUSD,2015-03-09T03:30:00+00:00,BEAR_FLAG,8.799999999999919,LOSS,-1.0,-1.0,SL,10,-1.0,0.06818181818176083
EURUSD,2015-03-10T03:00:00+00:00,BEAR_FLAG,32.29999999999844,WIN,2.0,2.0,TP,23,0.7585139318886012,1.7585139318886012
EURUSD,2015-03-10T06:15:00+00:00,BEAR_FLAG,9.854999999998617,LOSS,-1.0,-1.0,SL,4,-1.0,0.5175038051751214
EURUSD,2015-03-10T11:15:00+00:00,BEAR_FLAG,29.75999999999868,LOSS,-1.0,-1.0,SL,5,-1.0,0.37970430107523645
EURUSD,2015-03-10T18:45:00+00:00,BEAR_FLAG,30.532499999997853,WIN,2.0,0.028412347498611323,TRAIL_STOP,45,0.028412347498611323,1.0284123474986113
EURUSD,2015-03-11T04:00:00+00:00,BEAR_FLAG,23.200000000001,LOSS,-1.0,-1.0,SL,6,-1.0,0.06896551724134961
EURUSD,2015-03-11T09:15:00+00:00,BEAR_FLAG,46.51999999999878,WIN,2.0,0.270421324161654,TRAIL_STOP,11,0.270421324161654,1.270421324161654
EURUSD,2015-03-11T10:30:00+00:00,BEAR_FLAG,63.20749999999986,LOSS,-1.0,-1.0,SL,7,-1.0,0.0015820907328787707
EURUSD,2015-08-20T00:00:00+00:00,BULL_FLAG,25.800000000000267,LOSS,-1.0,-1.0,SL,31,-1.0,0.3410852713178228
EURUSD,2015-08-20T10:45:00+00:00,BULL_FLAG,26.47250000000101,WIN,2.0,0.6621021815090347,TRAIL_STOP,17,0.6621021815090347,1.6621021815090347
EURUSD,2015-08-20T12:00:00+00:00,BULL_FLAG,18.58499999999763,LOSS,-1.0,-1.0,SL,2,-1.0,0.06456820016149331
EURUSD,2015-08-20T16:00:00+00:00,BULL_FLAG,14.547499999999491,LOSS,-1.0,-1.0,SL,7,-1.0,0.7011514005843317
EURUSD,2015-08-24T02:30:00+00:00,BULL_PENNANT,52.514999999999645,LOSS,-1.0,-1.0,SL,14,-1.0,0.47795867847282286
EURUSD,2017-01-17T04:00:00+00:00,BULL_FLAG,21.962500000001217,WIN,2.0,0.3841775754125274,TRAIL_STOP,12,0.3841775754125274,1.3841775754125274
EURUSD,2017-01-17T05:45:00+00:00,BULL_FLAG,19.414999999998184,WIN,2.0,0.2516095802215603,TRAIL_STOP,17,0.2516095802215603,1.2516095802215603
EURUSD,2017-01-23T03:00:00+00:00,BULL_FLAG,10.964999999998335,LOSS,-1.0,-1.0,SL,7,-1.0,0.17327861377100118
EURUSD,2017-01-26T14:15:00+00:00,BEAR_FLAG,25.360000000000937,LOSS,-1.0,0.0094637223973979,TRAIL_STOP,14,0.0094637223973979,1.009463722397398
EURUSD,2017-01-26T15:45:00+00:00,BEAR_FLAG,23.74249999999911,LOSS,-1.0,-1.0,SL,9,-1.0,0.5728124670949052
EURUSD,2018-10-15T10:45:00+00:00,BULL_FLAG,15.539999999998331,LOSS,-1.0,-1.0,SL,4,-1.0,0.025740025740054243
GBPUSD,2018-10-16T08:30:00+00:00,BULL_FLAG,23.63500000000185,LOSS,-1.0,0.24391791834132115,TRAIL_STOP,17,0.24391791834132115,1.2439179183413211
GBPUSD,2018-10-16T11:45:00+00:00,BULL_FLAG,14.699999999998605,LOSS,-1.0,-1.0,SL,3,-1.0,0.1292517006803759
EURUSD,2018-10-25T15:00:00+00:00,BEAR_FLAG,16.129999999998645,WIN,2.0,2.0,TP,82,0.9590824550526238,1.9590824550526238
EURUSD,2019-01-07T01:30:00+00:00,BULL_FLAG,16.199999999999548,WIN,2.0,2.0,TP,47,0.7469135802466538,1.7469135802466538
EURUSD,2019-01-07T13:15:00+00:00,BULL_FLAG,16.087499999999366,WIN,2.0,0.3053613053613511,TRAIL_STOP,9,0.3053613053613511,1.305361305361351
EURUSD,2019-01-07T18:00:00+00:00,BULL_FLAG,24.042499999998856,LOSS,-1.0,-1.0,SL,30,-1.0,0.19548715815742657
EURUSD,2019-01-17T07:15:00+00:00,BEAR_FLAG,21.9999999999998,LOSS,-1.0,-1.0,SL,8,-1.0,0.2409090909090565
GBPUSD,2019-01-24T00:30:00+00:00,BULL_FLAG,17.099999999998783,LOSS,-1.0,-1.0,SL,6,-1.0,0.07017543859643656
GBPUSD,2019-01-24T23:30:00+00:00,BULL_FLAG,19.63500000000007,WIN,2.0,2.0,TP,1,-1.0,-1000000000.0
EURUSD,2019-08-05T11:45:00+00:00,BULL_FLAG,20.98249999999968,WIN,2.0,2.0,TP,44,0.9587751697844014,1.9587751697844014
EURUSD,2019-08-05T23:00:00+00:00,BULL_FLAG,18.89999999999725,LOSS,-1.0,-1.0,SL,19,-1.0,0.9947089947091943
GBPUSD,2020-07-06T05:45:00+00:00,BULL_FLAG,8.60000000000083,LOSS,-1.0,-1.0,SL,3,-1.0,0.5813953488370892
GBPUSD,2020-07-09T06:00:00+00:00,BULL_FLAG,12.390000000002122,LOSS,-1.0,0.08958837772394923,TRAIL_STOP,5,0.08958837772394923,1.0895883777239492
GBPUSD,2020-07-21T07:00:00+00:00,BULL_FLAG,28.64999999999896,LOSS,-1.0,-1.0,SL,3,-1.0,0.36998254799305397
GBPUSD,2020-07-21T17:30:00+00:00,BULL_FLAG,22.077499999999528,LOSS,-1.0,-1.0,SL,9,-1.0,0.5616577963991196
GBPUSD,2020-07-27T02:30:00+00:00,BULL_PENNANT,19.399999999998307,LOSS,-1.0,-1.0,SL,13,-1.0,0.9381443298970689
GBPUSD,2020-07-27T22:45:00+00:00,BULL_FLAG,11.927499999999648,LOSS,-1.0,-1.0,SL,2,-1.0,0.008383986585676637
GBPUSD,2020-07-28T15:45:00+00:00,BULL_PENNANT,34.98249999999814,LOSS,-1.0,-1.0,SL,39,-1.0,0.11148431358540219
GBPUSD,2020-07-29T12:45:00+00:00,BULL_FLAG,23.62500000000045,LOSS,-1.0,-1.0,SL,9,-1.0,0.6730158730158519
GBPUSD,2020-07-30T09:30:00+00:00,BULL_FLAG,30.52749999999937,WIN,2.0,0.9163049709279347,TRAIL_STOP,18,0.9163049709279347,1.9163049709279347
GBPUSD,2020-07-30T18:45:00+00:00,BULL_FLAG,18.56999999999997,WIN,2.0,2.0,TP,21,0.6101238556812343,1.6101238556812343
GBPUSD,2020-10-01T05:45:00+00:00,BULL_FLAG,8.599999999998609,LOSS,-1.0,-1.0,SL,5,-1.0,0.8953488372091432
EURUSD,2021-05-03T04:15:00+00:00,BEAR_FLAG,6.999999999999229,LOSS,-1.0,-1.0,SL,10,-1.0,0.7285714285715237
EURUSD,2021-05-04T08:45:00+00:00,BEAR_FLAG,19.899999999999363,LOSS,-1.0,-1.0,SL,13,-1.0,0.2160804020101338
EURUSD,2021-05-05T06:45:00+00:00,BEAR_FLAG,18.799999999998818,LOSS,-1.0,-1.0,SL,16,-1.0,0.7287234042552966
