symbol,window,time,agent,pattern,direction,entry,stop,stop_pips,fib_state,fib_pct,outcome,R,mfe_R,mae_R,bars_to_resolution,event_id,atr_pips,stop_atr,year,atr_pips_calc,stop_atr_calc,first2_idx,pre2_mae_calc,post2_maxR,post2_minR,stopped_after2,bars_after2_to_stop,hour_utc,trail2R_R,baseline_R
GBPUSD,2014_A,2014-02-03 09:15:00+00:00,M15_FLAG_PENNANT,BEAR_PENNANT,SHORT,1.63753,1.640627,30.970000000001274,ACTIVE_SHALLOW,0.0,WIN,2.0,2.0762027768807463,0.2034226670972246,29,M15_FLAG_PENNANT|2014-02-03T09:15:00+00:00|1.63753,13.835714285714364,2.238409912235495,2014,11.092857142857174,2.79188667095954,,-1.185017759121702,,,False,,9.25,2.832741362608762,2.0
GBPUSD,2014_A,2014-02-03 17:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.62964,1.63310375,34.63750000000098,ACTIVE_SHALLOW,0.0,LOSS,-1.0,1.1490436665463035,1.3049440635149625,65,M15_FLAG_PENNANT|2014-02-03T17:15:00+00:00|1.62964,13.48571428571445,2.56845868644072,2014,13.09285714285727,2.6455264593562964,,-1.3049440635149625,,,False,,17.25,-1.0,-1.0
EURUSD,2015_A,2015-03-09 03:30:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.08368,1.08456,8.799999999999919,ACTIVE_SHALLOW,0.2113,LOSS,-1.0,0.0681818181817608,1.7045454545455347,10,M15_FLAG_PENNANT|2015-03-09T03:30:00+00:00|1.08368,4.635714285714362,1.898305084745714,2015,4.950000000000074,1.777777777777735,,-1.7045454545455347,,,False,,3.5,-1.0,-1.0
EURUSD,2015_A,2015-03-10 03:00:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.08026,1.0834899999999998,32.29999999999844,ACTIVE_SHALLOW,0.0,WIN,2.0,2.1052631578948127,0.653250773993857,23,M15_FLAG_PENNANT|2015-03-10T03:00:00+00:00|1.08026,7.171428571428764,4.5039840637446815,2015,6.328571428571493,5.103837471782997,43841.0,-0.73374613003099,10.53250773993857,0.2941176470588397,False,,3.0,1.2414860681115365,2.0
EURUSD,2015_A,2015-03-10 06:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.07936,1.0803455,9.854999999998617,ACTIVE_SHALLOW,3.613,LOSS,-1.0,0.5175038051751214,1.998985286656603,4,M15_FLAG_PENNANT|2015-03-10T06:15:00+00:00|1.07936,8.900000000000256,1.1073033707863291,2015,8.835714285714598,1.1153597413094238,,-1.998985286656603,,,False,,6.25,-1.0,-1.0
EURUSD,2015_A,2015-03-10 11:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.07415,1.0771259999999998,29.75999999999868,ACTIVE_SHALLOW,2.3703,LOSS,-1.0,0.6518817204300796,1.2466397849463262,5,M15_FLAG_PENNANT|2015-03-10T11:15:00+00:00|1.07415,16.935714285714212,1.7572332349219033,2015,17.1142857142857,1.738898163605934,,-1.2466397849463262,,,False,,11.25,-1.0,-1.0
EURUSD,2015_A,2015-03-10 18:45:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.0697,1.07275325,30.532499999997853,ACTIVE_SHALLOW,1.232,WIN,2.0,2.656186031278353,0.6550397117825735,58,M15_FLAG_PENNANT|2015-03-10T18:45:00+00:00|1.0697,12.499999999999892,2.4425999999998496,2015,12.714285714285584,2.4014325842696933,43939.0,-0.6550397117825258,7.683615819209033,0.4356014083353967,False,,18.75,3.4870220257103126,2.0
EURUSD,2015_A,2015-03-11 04:00:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.06672,1.06904,23.200000000001,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.0689655172413496,1.1077586206896866,6,M15_FLAG_PENNANT|2015-03-11T04:00:00+00:00|1.06672,7.657142857142743,3.029850746268832,2015,7.199999999999747,3.222222222222474,,-1.1077586206896866,,,False,,4.0,-1.0,-1.0
EURUSD,2015_A,2015-03-11 09:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.06191,1.0665619999999998,46.51999999999878,ACTIVE_SHALLOW,0.0,WIN,2.0,2.08082545141878,0.1913155631986416,33,M15_FLAG_PENNANT|2015-03-11T09:15:00+00:00|1.06191,16.478571428571215,2.823060251408718,2015,14.67857142857116,3.1692457420924325,43972.0,-0.5717970765262632,2.689165950129004,-1.388650042992326,True,76.0,9.25,1.689165950129004,2.0
EURUSD,2015_A,2015-03-11 10:30:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.05622,1.06254075,63.20749999999986,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.0015820907328787,1.041015702250531,7,M15_FLAG_PENNANT|2015-03-11T10:30:00+00:00|1.05622,20.614285714285312,3.0661988911989444,2015,21.0857142857138,2.997645663956701,,-1.041015702250531,,,False,,10.5,-1.0,-1.0
