symbol,window,time,agent,pattern,direction,entry,stop,stop_pips,fib_state,fib_pct,outcome,R,mfe_R,mae_R,bars_to_resolution,event_id,atr_pips,stop_atr,year,atr_pips_calc,stop_atr_calc,first2_idx,pre2_mae_calc,post2_maxR,post2_minR,stopped_after2,bars_after2_to_stop,hour_utc,runner_2p5,runner_3,runner_4,runner_5
GBPUSD,2014_A,2014-02-03 09:15:00+00:00,M15_FLAG_PENNANT,BEAR_PENNANT,SHORT,1.63753,1.640627,30.970000000001274,ACTIVE_SHALLOW,0.0,WIN,2.0,2.0762027768807463,0.2034226670972246,29,M15_FLAG_PENNANT|2014-02-03T09:15:00+00:00|1.63753,13.835714285714364,2.238409912235495,2014,11.092857142857174,2.7918866709595402,,-1.185017759121702,,,False,,9.25,False,False,False,False
EURUSD,2015_A,2015-03-10 03:00:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.08026,1.0834899999999998,32.29999999999844,ACTIVE_SHALLOW,0.0,WIN,2.0,2.1052631578948127,0.653250773993857,23,M15_FLAG_PENNANT|2015-03-10T03:00:00+00:00|1.08026,7.171428571428764,4.5039840637446815,2015,6.328571428571493,5.103837471782997,43841.0,-0.73374613003099,10.53250773993857,0.2941176470588397,False,,3.0,True,True,True,True
EURUSD,2015_A,2015-03-10 18:45:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.0697,1.07275325,30.532499999997853,ACTIVE_SHALLOW,1.232,WIN,2.0,2.656186031278353,0.6550397117825735,58,M15_FLAG_PENNANT|2015-03-10T18:45:00+00:00|1.0697,12.499999999999892,2.4425999999998496,2015,12.714285714285584,2.4014325842696933,43939.0,-0.6550397117825258,7.683615819209033,0.43560140833539673,False,,18.75,True,True,True,True
EURUSD,2015_A,2015-03-11 09:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.06191,1.0665619999999998,46.51999999999878,ACTIVE_SHALLOW,0.0,WIN,2.0,2.08082545141878,0.1913155631986416,33,M15_FLAG_PENNANT|2015-03-11T09:15:00+00:00|1.06191,16.478571428571215,2.823060251408718,2015,14.67857142857116,3.1692457420924325,43972.0,-0.5717970765262632,2.689165950129004,-1.388650042992326,True,76.0,9.25,True,False,False,False
EURUSD,2015_B,2015-08-20 10:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.11766,1.11501275,26.47250000000101,ACTIVE_SHALLOW,0.2589,WIN,2.0,2.519595806969383,0.9330437246199264,37,M15_FLAG_PENNANT|2015-08-20T10:45:00+00:00|1.11766,13.28571428571425,1.9925537634409416,2015,13.342857142857165,1.984020342612492,55115.0,-0.9330437246199264,20.296534139200222,1.9869676078948417,False,,10.75,True,True,True,True
EURUSD,2017_A,2017-01-17 04:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.06353,1.06133375,21.962500000001217,ACTIVE_SHALLOW,0.0,WIN,2.0,2.058053500284397,0.1365964712579043,22,M15_FLAG_PENNANT|2017-01-17T04:00:00+00:00|1.06353,7.135714285714403,3.077827827827948,2017,6.721428571428671,3.267534537725956,90238.0,-0.5737051792828545,3.815594763801647,-1.479795105293121,True,208.0,4.0,True,True,False,False
EURUSD,2017_A,2017-01-17 05:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.06575,1.0638085000000002,19.414999999998184,ACTIVE_SHALLOW,2.7397,WIN,2.0,2.3074942055114387,0.8756116404842615,22,M15_FLAG_PENNANT|2017-01-17T05:45:00+00:00|1.06575,8.057142857142827,2.4096631205671595,2017,7.385714285714297,2.6287234042550693,90245.0,-0.8756116404842615,3.172804532578171,-1.4061292814834687,True,132.0,5.75,True,True,False,False
EURUSD,2018_A,2018-10-25 15:00:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.13717,1.138783,16.129999999998645,ACTIVE_SHALLOW,1.6155,WIN,2.0,2.2132672039679933,0.7377557346559978,82,M15_FLAG_PENNANT|2018-10-25T15:00:00+00:00|1.13717,14.542857142856937,1.109135559921337,2018,14.085714285714099,1.1451318458418616,134540.0,-0.7377557346558962,2.2442653440792077,-1.4073155610662569,True,16.0,15.0,False,False,False,False
EURUSD,2019_A,2019-01-07 01:30:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.14196,1.14034,16.199999999999548,ACTIVE_LATCHED_RECOVERY,0.0,WIN,2.0,2.0370370370370066,0.5925925925926535,47,M15_FLAG_PENNANT|2019-01-07T01:30:00+00:00|1.14196,4.764285714286157,3.400299850074552,2019,4.578571428571765,3.5382215288612806,139288.0,-0.5925925925925722,9.2654320987644,0.16049382716043123,False,,1.5,True,True,True,True
EURUSD,2019_A,2019-01-07 13:15:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.14517,1.14356125,16.087499999999366,ACTIVE_LATCHED_RECOVERY,0.0,WIN,2.0,2.0326340326340406,0.2797202797203289,44,M15_FLAG_PENNANT|2019-01-07T13:15:00+00:00|1.14517,6.407142857142643,2.510869565217376,2019,6.185714285714049,2.6007505773672026,139332.0,-0.5656565656565671,2.0,-1.0318570318570692,True,14.0,13.25,False,False,False,False
