symbol,window,time,agent,pattern,direction,entry,stop,stop_pips,fib_state,fib_pct,outcome,R,mfe_R,mae_R,bars_to_resolution,event_id
EURUSD,2015_A,2015-03-09T03:30:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.08368,1.08456,8.799999999999919,ACTIVE_SHALLOW,0.2113,LOSS,-1.0,0.06818181818176083,1.7045454545455347,10,M15_FLAG_PENNANT|2015-03-09T03:30:00+00:00|1.08368
EURUSD,2015_A,2015-03-10T03:00:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.08026,1.0834899999999998,32.29999999999844,ACTIVE_SHALLOW,0.0,WIN,2.0,2.1052631578948127,0.653250773993857,23,M15_FLAG_PENNANT|2015-03-10T03:00:00+00:00|1.08026
EURUSD,2015_A,2015-03-10T06:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.07936,1.0803455,9.854999999998615,ACTIVE_SHALLOW,3.613,LOSS,-1.0,0.5175038051751214,1.998985286656603,4,M15_FLAG_PENNANT|2015-03-10T06:15:00+00:00|1.07936
EURUSD,2015_A,2015-03-10T11:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.07415,1.0771259999999998,29.759999999998676,ACTIVE_SHALLOW,2.3703,LOSS,-1.0,0.6518817204300796,1.2466397849463262,5,M15_FLAG_PENNANT|2015-03-10T11:15:00+00:00|1.07415
EURUSD,2015_A,2015-03-10T18:45:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.0697,1.0727532499999999,30.532499999997853,ACTIVE_SHALLOW,1.232,WIN,2.0,2.656186031278353,0.6550397117825735,58,M15_FLAG_PENNANT|2015-03-10T18:45:00+00:00|1.0697
EURUSD,2015_A,2015-03-11T04:00:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.06672,1.06904,23.200000000000998,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.06896551724134961,1.1077586206896866,6,M15_FLAG_PENNANT|2015-03-11T04:00:00+00:00|1.06672
EURUSD,2015_A,2015-03-11T09:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.06191,1.0665619999999998,46.51999999999878,ACTIVE_SHALLOW,0.0,WIN,2.0,2.08082545141878,0.1913155631986416,33,M15_FLAG_PENNANT|2015-03-11T09:15:00+00:00|1.06191
EURUSD,2015_A,2015-03-11T10:30:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.05622,1.06254075,63.20749999999986,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.0015820907328787707,1.041015702250531,7,M15_FLAG_PENNANT|2015-03-11T10:30:00+00:00|1.05622
EURUSD,2015_A,2015-03-13T06:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.05749,1.0605499999999999,30.599999999998406,ACTIVE_SHALLOW,15.2153,LOSS,-1.0,0.3300653594771268,1.392156862745148,6,M15_FLAG_PENNANT|2015-03-13T06:15:00+00:00|1.05749
EURUSD,2015_A,2015-03-13T15:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.04825,1.05402475,57.74750000000051,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.34806701588810385,1.146369972726094,59,M15_FLAG_PENNANT|2015-03-13T15:15:00+00:00|1.04825
EURUSD,2015_B,2015-08-20T00:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.11396,1.11138,25.800000000000267,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.3410852713178228,1.25581395348841,31,M15_FLAG_PENNANT|2015-08-20T00:00:00+00:00|1.11396
EURUSD,2015_B,2015-08-20T10:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.11766,1.11501275,26.47250000000101,ACTIVE_SHALLOW,0.2589,WIN,2.0,2.519595806969383,0.9330437246199264,37,M15_FLAG_PENNANT|2015-08-20T10:45:00+00:00|1.11766
EURUSD,2015_B,2015-08-20T12:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.11835,1.1164915000000002,18.58499999999763,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.06456820016149331,1.059994619316803,2,M15_FLAG_PENNANT|2015-08-20T12:00:00+00:00|1.11835
EURUSD,2015_B,2015-08-20T16:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.12028,1.11882525,14.547499999999491,ACTIVE_SHALLOW,8.9854,LOSS,-1.0,0.7011514005843317,1.347310534456113,7,M15_FLAG_PENNANT|2015-08-20T16:00:00+00:00|1.12028
EURUSD,2015_B,2015-08-21T01:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.1247,1.12288,18.199999999999328,ACTIVE_SHALLOW,0.0,WIN,2.0,2.3296703296704275,0.214285714285784,8,M15_FLAG_PENNANT|2015-08-21T01:00:00+00:00|1.1247
EURUSD,2015_B,2015-08-21T02:15:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.12595,1.12419,17.599999999999838,ACTIVE_SHALLOW,0.0,WIN,2.0,2.011363636363711,0.14772727272723257,13,M15_FLAG_PENNANT|2015-08-21T02:15:00+00:00|1.12595
EURUSD,2015_B,2015-08-21T05:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.12935,1.127051,22.99000000000051,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.060896041757297036,1.6093953892996757,8,M15_FLAG_PENNANT|2015-08-21T05:00:00+00:00|1.12935
EURUSD,2015_B,2015-08-21T16:30:00+00:00,M15_FLAG_PENNANT,BULL_PENNANT,LONG,1.1373,1.1338275,34.724999999999895,ACTIVE_SHALLOW,0.0,WIN,2.0,2.3095752339812643,0.711303095752334,36,M15_FLAG_PENNANT|2015-08-21T16:30:00+00:00|1.1373
EURUSD,2015_B,2015-08-24T02:30:00+00:00,M15_FLAG_PENNANT,BULL_PENNANT,LONG,1.14732,1.1420685,52.514999999999645,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.47795867847282286,1.009235456536208,14,M15_FLAG_PENNANT|2015-08-24T02:30:00+00:00|1.14732
EURUSD,2015_B,2015-08-25T20:00:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,LONG,1.14988,1.1404517499999998,94.28250000000249,ACTIVE_LATCHED_RECOVERY,31.1108,LOSS,-1.0,0.6586588179142349,1.0436719433616855,64,M15_TRIANGLE_WEDGE|2015-08-25T20:00:00+00:00|1.14988
EURUSD,2015_B,2015-08-25T21:00:00+00:00,M15_CHANNEL,,LONG,1.14988,1.14339175,64.88250000000085,ACTIVE_LATCHED_RECOVERY,28.3194,LOSS,-1.0,0.9571147844179815,1.103533310214613,54,M15_CHANNEL|2015-08-25T20:00:00+00:00|1.14988
EURUSD,2015_B,2015-08-25T23:45:00+00:00,M15_TRIANGLE_WEDGE,ASCENDING_TRIANGLE,LONG,1.1553,1.150917,43.830000000000254,ACTIVE_LATCHED_RECOVERY,23.2716,LOSS,-1.0,0.18024184348621122,1.063198722336267,4,M15_TRIANGLE_WEDGE|2015-08-25T23:45:00+00:00|1.1553
EURUSD,2017_A,2017-01-17T02:15:00+00:00,M15_IMPULSE_CORRECTION,,LONG,1.06116,1.0599402500000001,12.19749999999964,ACTIVE_LATCHED_RECOVERY,25.0896,WIN,2.0,2.1069891371182923,0.18856323017026547,7,M15_IMPULSE_CORRECTION|2017-01-17T02:15:00+00:00|1.06116
EURUSD,2017_A,2017-01-17T04:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.06353,1.06133375,21.962500000001217,ACTIVE_SHALLOW,0.0,WIN,2.0,2.058053500284397,0.13659647125790433,22,M15_FLAG_PENNANT|2017-01-17T04:00:00+00:00|1.06353
EURUSD,2017_A,2017-01-17T05:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.06575,1.0638085000000002,19.414999999998184,ACTIVE_SHALLOW,2.7397,WIN,2.0,2.3074942055114387,0.8756116404842615,22,M15_FLAG_PENNANT|2017-01-17T05:45:00+00:00|1.06575
EURUSD,2017_A,2017-01-23T03:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.0748,1.0737035000000001,10.964999999998337,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.17327861377103626,1.003191974464246,7,M15_FLAG_PENNANT|2017-01-23T03:00:00+00:00|1.0748
EURUSD,2017_A,2017-01-23T21:30:00+00:00,M15_TRIANGLE_WEDGE,ASCENDING_TRIANGLE,LONG,1.07586,1.0729495,29.10500000000038,ACTIVE_LATCHED_RECOVERY,0.0,LOSS,-1.0,0.49132451468820604,1.0307507301151262,53,M15_TRIANGLE_WEDGE|2017-01-23T21:30:00+00:00|1.07586
EURUSD,2017_A,2017-01-26T14:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.06832,1.070856,25.360000000000937,ACTIVE_SHALLOW,0.0,LOSS,-1.0,1.009463722397398,1.648264984227097,95,M15_FLAG_PENNANT|2017-01-26T14:15:00+00:00|1.06832
EURUSD,2017_A,2017-01-26T15:45:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.06712,1.06949425,23.74249999999911,ACTIVE_SHALLOW,1.3013,LOSS,-1.0,0.5728124670949052,1.0571759503001394,9,M15_FLAG_PENNANT|2017-01-26T15:45:00+00:00|1.06712
EURUSD,2019_A,2019-01-07T01:30:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.14196,1.1403400000000001,16.199999999999548,ACTIVE_LATCHED_RECOVERY,0.0,WIN,2.0,2.0370370370370066,0.5925925925926535,47,M15_FLAG_PENNANT|2019-01-07T01:30:00+00:00|1.14196
EURUSD,2019_A,2019-01-07T13:15:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.14517,1.14356125,16.087499999999366,ACTIVE_LATCHED_RECOVERY,0.0,WIN,2.0,2.0326340326340406,0.2797202797203289,44,M15_FLAG_PENNANT|2019-01-07T13:15:00+00:00|1.14517
EURUSD,2019_A,2019-01-07T18:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.14797,1.14556575,24.042499999998856,ACTIVE_LATCHED_RECOVERY,0.0,LOSS,-1.0,0.19548715815742657,1.0647811167723895,30,M15_FLAG_PENNANT|2019-01-07T18:00:00+00:00|1.14797
EURUSD,2019_A,2019-01-17T02:30:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.13894,1.1406049999999999,16.649999999998055,ACTIVE_LATCHED_RECOVERY,24.8408,LOSS,-1.0,1.165165165165333,1.2132132132133013,126,M15_TRIANGLE_WEDGE|2019-01-17T02:30:00+00:00|1.13894
EURUSD,2019_A,2019-01-17T07:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.1377,1.1399,21.999999999999797,ACTIVE_LATCHED_RECOVERY,0.0,LOSS,-1.0,0.2409090909090565,1.1136363636364026,8,M15_FLAG_PENNANT|2019-01-17T07:15:00+00:00|1.1377
EURUSD,2019_A,2019-01-18T16:45:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.13577,1.13836525,25.9525000000016,ACTIVE_SHALLOW,18.3544,LOSS,-1.0,0.04238512667374924,1.2831133802137944,57,M15_FLAG_PENNANT|2019-01-18T16:00:00+00:00|1.13577
